NAICS2022|DESCRIPTION
481|Industries in the Air Transportation subsector provide air transportation of passengers and/or cargo using aircraft, such as airplanes, helicopters, and spacecraft.  The subsector distinguishes scheduled from nonscheduled air transportation.  Scheduled air carriers fly regular routes on regular schedules and operate even if flights are only partially loaded.  Nonscheduled carriers often operate during nonpeak time slots at busy airports.  These establishments have more flexibility with respect to choice of airport, hours of operation, load factors, and similar operational characteristics.  Nonscheduled carriers provide chartered air transportation of passengers, cargo, or specialty flying services.  Specialty flying services establishments use general purpose aircraft to provide a variety of specialized flying services.<br><br>Scenic and sightseeing air transportation and air courier services are not included in this subsector but are included in Subsector 487, Scenic and Sightseeing Transportation, and in Subsector 492, Couriers and Messengers, respectively.  Although these activities may use aircraft, they are different from the activities included in air transportation.  Air sightseeing does not usually involve place-to-place transportation; the passenger's flight (e.g., balloon ride, aerial sightseeing) typically starts and ends at the same location.  Courier services (individual package or cargo delivery) include more than air transportation; road transportation is usually required to deliver the cargo to the intended recipient.
4811|
48111|This industry comprises establishments primarily engaged in providing air transportation of passengers and/or cargo over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.<br><br>Illustrative Examples:<br><br>Air commuter carriers, scheduled<br>Scheduled air passenger carriers<br>Scheduled air cargo carriers (except air couriers)<br>Scheduled helicopter passenger carriers<br><br>Cross-References. Establishments primarily engaged in--
481111|This U.S. industry comprises establishments primarily engaged in providing air transportation of passengers or passengers and freight over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Scheduled air passenger carriers including commuter and helicopter carriers (except scenic and sightseeing) are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
481112|This U.S. industry comprises establishments primarily engaged in providing air transportation of cargo without transporting passengers over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
4812|
48121|This industry comprises establishments primarily engaged in (1) providing air transportation of passengers and/or cargo with no regular routes and regular schedules or (2) providing specialty flying services with no regular routes and regular schedules using general purpose aircraft.  These establishments have more flexibility with respect to choice of airports, hours of operation, load factors, and similar operational characteristics.<br><br>Illustrative Examples:<br><br>Air taxi services<br>Nonscheduled air freight transportation services<br>Aircraft charter services<br>Nonscheduled air passenger transportation services<br><br>Cross-References. Establishments primarily engaged in--
481211|This U.S. industry comprises establishments primarily engaged in providing air transportation of passengers or passengers and cargo with no regular routes and regular schedules.<br><br>Cross-References. Establishments primarily engaged in--
481212|This U.S. industry comprises establishments primarily engaged in providing air transportation of cargo without transporting passengers with no regular routes and regular schedules.<br><br>Cross-References. Establishments primarily engaged in--
481219|This U.S. industry comprises establishments primarily engaged in providing air transportation with no regular routes and regular schedules (except nonscheduled chartered passenger and/or cargo air transportation).  These establishments provide a variety of specialty air transportation or flying services based on individual customer needs using general purpose aircraft.<br><br>Illustrative Examples:<br><br>Aircraft charter services (i.e., general purpose aircraft used for a variety of specialty air and flying services)<br>Aviation clubs providing a variety of air transportation activities to the general public<br><br>Cross-References. Establishments primarily engaged in--
482|Industries in the Rail Transportation subsector provide rail transportation of passengers and/or cargo using railroad rolling stock.  The railroads in this subsector primarily either operate on networks, with physical facilities, labor force, and equipment spread over an extensive geographic area, or operate over a short distance on a local rail line.<br><br>Scenic and sightseeing rail transportation and street railroads, commuter rail, and rapid transit are not included in this subsector but are included in Subsector 487, Scenic and Sightseeing Transportation, and Subsector 485, Transit and Ground Passenger Transportation, respectively.  Although these activities use railroad rolling stock, they are different from the activities included in rail transportation.  Sightseeing and scenic railroads do not usually involve place-to-place transportation; the passenger's trip typically starts and ends at the same location.  Commuter railroads operate in a manner more consistent with local and urban transit and are often part of integrated transit systems.
4821|
48211|This industry comprises establishments primarily engaged in operating railroads (except street railroads, commuter rail, urban rapid transit, and scenic and sightseeing trains).  Line-haul railroads and short-line railroads are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
482111|This U.S. industry comprises establishments known as line-haul railroads primarily engaged in operating railroads for the transport of passengers and/or cargo over a long distance within a rail network.  These establishments provide for the intercity movement of trains between the terminals and stations on main and branch lines of a line-haul rail network (except for local switching services).<br><br>Cross-References. Establishments primarily engaged in--
482112|This U.S. industry comprises establishments known as short-line railroads primarily engaged in operating railroads for the transport of cargo over a short distance on local rail lines not part of a rail network.<br><br>Cross-References. Establishments primarily engaged in--
483|Industries in the Water Transportation subsector provide water transportation of passengers and cargo using watercraft, such as ships, barges, and boats.<br><br>The subsector is composed of two industry groups: (1) one for deep sea, coastal, and Great Lakes water transportation; and (2) one for inland water transportation.  This split typically reflects the difference in equipment used.<br><br>Scenic and sightseeing water transportation services are not included in this subsector but are included in Subsector 487, Scenic and Sightseeing Transportation.  Although these activities use watercraft, they are different from the activities included in water transportation.  Water sightseeing does not usually involve place-to-place transportation; the passenger's trip starts and ends at the same location.
4831|
48311|This industry comprises establishments primarily engaged in providing deep sea, coastal, Great Lakes, and St. Lawrence Seaway water transportation.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System.<br><br>Cross-References. Establishments primarily engaged in--
483111|This U.S. industry comprises establishments primarily engaged in providing deep sea transportation of cargo to or from foreign ports.<br><br>Cross-References.
483112|This U.S. industry comprises establishments primarily engaged in providing deep sea transportation of passengers to or from foreign ports.<br><br>Cross-References. Establishments primarily engaged in--
483113|This U.S. industry comprises establishments primarily engaged in providing water transportation of cargo in coastal waters, on the Great Lakes System, or deep seas between ports of the United States, Puerto Rico, and United States island possessions or protectorates.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System.  Establishments primarily engaged in providing coastal and/or Great Lakes barge transportation services are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
483114|This U.S. industry comprises establishments primarily engaged in providing water transportation of passengers in coastal waters, the Great Lakes System, or deep seas between ports of the United States, Puerto Rico, and United States island possessions and protectorates.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System.<br><br>Cross-References. Establishments primarily engaged in--
4832|
48321|This industry comprises establishments primarily engaged in providing inland water transportation of passengers and/or cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).<br><br>Cross-References. Establishments primarily engaged in--
483211|This U.S. industry comprises establishments primarily engaged in providing inland water transportation of cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).<br><br>Cross-References. Establishments primarily engaged in--
483212|This U.S. industry comprises establishments primarily engaged in providing inland water transportation of passengers on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).<br><br>Cross-References. Establishments primarily engaged in--
484|Industries in the Truck Transportation subsector provide over-the-road transportation of cargo using motor vehicles, such as trucks and tractor trailers.  The subsector is subdivided into general freight trucking and specialized freight trucking.  This distinction reflects differences in equipment used, type of load carried, scheduling, terminal, and other networking services.  General freight transportation establishments handle a wide variety of general commodities, generally palletized, and transported in a container or van trailer.  Specialized freight transportation is the transportation of cargo that, because of size, weight, shape, or other inherent characteristics, requires specialized equipment for transportation.<br><br>Each of these industry groups is further subdivided based on distance traveled.  Local trucking establishments primarily carry goods within a single metropolitan area and its adjacent nonurban areas.  Long-distance trucking establishments carry goods between metropolitan areas.<br><br>The Specialized Freight Trucking industry group includes a separate industry for Used Household and Office Goods Moving. The household and office goods movers are separated because of the substantial network of establishments that has developed to deal with local and long-distance moving and the associated storage.  In this area, the same establishment provides both local and long-distance services, while other specialized freight establishments generally limit their services to either local or long-distance hauling.
4841|This industry group comprises establishments primarily engaged in providing general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized, and transported in a container or van trailer.  The establishments of this industry group provide a combination of the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery.
48411|See industry description for 484110.
484110|This industry comprises establishments primarily engaged in providing local general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized and transported in a container or van trailer.  Local general freight trucking establishments usually provide trucking within a metropolitan area which may cross state lines.  Generally the trips are same-day return.<br><br>Cross-References. Establishments primarily engaged in--
48412|This industry comprises establishments primarily engaged in providing long-distance general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized and transported in a container or van trailer.  Long-distance general freight trucking establishments usually provide trucking between metropolitan areas which may cross North American country borders.  Included in this industry are establishments operating as truckload (TL) or less than truckload (LTL) carriers.<br><br>Cross-References. Establishments primarily engaged in--
484121|This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.<br><br>Cross-References. Establishments primarily engaged in--
484122|This U.S. industry comprises establishments primarily engaged in providing long-distance, general freight, less than truckload (LTL) trucking.  LTL carriage is characterized as multiple shipments combined onto a single truck for multiple deliveries within a network.  These establishments are generally characterized by the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery.<br><br>Cross-References. Establishments primarily engaged in--
4842|This industry group comprises establishments primarily engaged in providing local or long-distance specialized freight trucking.  The establishments of this industry are primarily engaged in the transportation of freight which, because of size, weight, shape, or other inherent characteristics, requires specialized equipment, such as flatbeds, tankers, or refrigerated trailers.  This industry includes the transportation of used household, institutional, and commercial furniture and equipment.
48421|See industry description for 484210.
484210|This industry comprises establishments primarily engaged in providing local or long-distance trucking of used household, used institutional, or used commercial furniture and equipment.  Incidental packing and storage activities are often provided by these establishments.
48422|See industry description for 484220.
484220|This industry comprises establishments primarily engaged in providing local, specialized trucking.  Local trucking establishments provide trucking within a metropolitan area that may cross state lines.  Generally the trips are same-day return.<br><br>Illustrative Examples:<br><br>Local agricultural products trucking<br>Local dump trucking (e.g., gravel, sand, top-soil)<br>Local boat hauling<br>Local livestock trucking<br>Local bulk liquids trucking<br><br>Cross-References. Establishments primarily engaged in--
48423|See industry description for 484230.
484230|This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.<br><br>Illustrative Examples:<br><br>Long-distance automobile carrier trucking<br>Long-distance refrigerated product trucking<br>Long-distance bulk liquid trucking<br>Long-distance trucking of waste<br>Long-distance hazardous material trucking<br><br>Cross-References. Establishments primarily engaged in--
485|Industries in the Transit and Ground Passenger Transportation subsector include a variety of passenger transportation activities, such as urban transit systems; chartered bus, school bus, and interurban bus transportation; and taxis.  These activities are distinguished based primarily on such production process factors as vehicle types, routes, and schedules.<br><br>In this subsector, the principal splits identify scheduled transportation as separate from nonscheduled transportation.  The scheduled transportation industry groups are Urban Transit Systems, Interurban and Rural Bus Transportation, and School and Employee Bus Transportation.  The nonscheduled industry groups are the Charter Bus Industry and Taxi and Limousine Service.  The Other Transit and Ground Passenger Transportation industry group includes both scheduled and nonscheduled transportation.<br><br>Scenic and sightseeing ground transportation services are not included in this subsector but are included in Subsector 487, Scenic and Sightseeing Transportation.  Sightseeing does not usually involve place-to-place transportation; the passenger's trip starts and ends at the same location.
4851|
48511|This industry comprises establishments primarily engaged in operating local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.  Such transportation systems involve the use of one or more modes of transport including light rail, commuter rail, subways, and streetcars, as well as buses and other motor vehicles.<br><br>Cross-References. Establishments primarily engaged in--
485111|This U.S. industry comprises establishments primarily engaged in operating local and suburban ground passenger transit systems using more than one mode of transport over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.<br><br>Cross-References. Establishments primarily engaged in--
485112|This U.S. industry comprises establishments primarily engaged in operating local and suburban commuter rail systems over regular routes and on a regular schedule within a metropolitan area and its adjacent nonurban areas.  Commuter rail is usually characterized by reduced fares, multiple ride and commutation tickets, and mostly used by passengers during the morning and evening peak periods.<br><br>Cross-References. Establishments primarily engaged in--
485113|This U.S. industry comprises establishments primarily engaged in operating local and suburban passenger transportation systems using buses or other motor vehicles over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.<br><br>Cross-References. Establishments primarily engaged in--
485119|This U.S. industry comprises establishments primarily engaged in operating local and suburban ground passenger transit systems (except mixed mode transit systems, commuter rail systems, and buses and other motor vehicles) over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.<br><br>Illustrative Examples:<br><br>Commuter cable car systems (i.e., stand-alone)<br>Light rail systems (i.e., stand-alone)<br>Commuter tramway systems (i.e., stand-alone)<br>Monorail transit systems (i.e., stand-alone)<br>Commuter trolley systems (i.e., stand-alone)<br>Subway systems (i.e., stand-alone)<br><br>Cross-References. Establishments primarily engaged in--
4852|
48521|See industry description for 485210.
485210|This industry comprises establishments primarily engaged in providing bus passenger transportation over regular routes and on regular schedules, principally outside a single metropolitan area and its adjacent nonurban areas.<br><br>Cross-References. Establishments primarily engaged in--
4853|This industry group comprises establishments primarily engaged in providing passenger transportation by automobile or van or providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
48531|See industry description for 485310.
485310|This industry comprises establishments primarily engaged in providing passenger transportation by automobile or van, not operated over regular routes and on regular schedules.  Establishments of taxicab owner/operators, taxicab fleet operators, taxicab organizations, ridesharing services (including arrangement services), and ride hailing services (including arrangement services) are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
48532|See industry description for 485320.
485320|This industry comprises establishments primarily engaged in providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.<br><br>Cross-References. Establishments primarily engaged in--
4854|
48541|See industry description for 485410.
485410|This industry comprises establishments primarily engaged in providing buses and other motor vehicles to transport pupils to and from school or employees to and from work.<br><br>Cross-References. Establishments primarily engaged in--
4855|
48551|See industry description for 485510.
485510|This industry comprises establishments primarily engaged in providing buses for charter.  These establishments provide bus services to meet customers' road transportation needs and generally do not operate over fixed routes and on regular schedules.<br><br>Cross-References. Establishments primarily engaged in--
4859|
48599|This industry comprises establishments primarily engaged in providing other transit and ground passenger transportation (except urban transit systems, interurban and rural bus transportation, taxi and ridesharing services, school and employee bus transportation, charter bus services, and limousine services (except shuttle services)).  Shuttle services (except school and employee bus) and special needs transportation services are included in this industry.  Shuttle services establishments generally travel within a metropolitan area and its adjacent nonurban areas on regular routes, on regular schedules and provide services between hotels, airports, or other destination points.  Establishments in the Special Needs Transportation industry provide passenger transportation for the disabled or elderly.  These establishments may use specially equipped vehicles to provide passenger transportation.<br><br>Cross-References. Establishments primarily engaged in--
485991|This U.S. industry comprises establishments primarily engaged in providing special needs transportation (except to and from school or work) for the disabled or elderly.  These establishments may use specially equipped vehicles to provide passenger transportation.<br><br>Cross-References. Establishments primarily engaged in--
485999|This U.S. industry comprises establishments primarily engaged in providing ground passenger transportation (except urban transit systems; interurban and rural bus transportation, taxi and/or limousine services (except shuttle services), school and employee bus transportation, charter bus services, and special needs transportation).  Establishments primarily engaged in operating shuttle services and car pools or vanpools (except ridesharing and ridesharing arrangement services) are included in this industry.  Shuttle services establishments generally provide travel on regular routes and on regular schedules between hotels, airports, or other destination points.<br><br>Cross-References. Establishments primarily engaged in--
486|Industries in the Pipeline Transportation subsector use transmission pipelines to transport products, such as crude oil, natural gas, refined petroleum products, and slurry.  Industries are identified based on the products transported (i.e., pipeline transportation of crude oil, natural gas, refined petroleum products, and other products).<br><br>The Pipeline Transportation of Natural Gas industry includes the storage of natural gas because the storage is usually done by the pipeline establishment and because a pipeline is inherently a network in which all the nodes are interdependent.
4861|
48611|See industry description for 486110.
486110|This industry comprises establishments primarily engaged in the pipeline transportation of crude oil.<br><br>Cross-References. Establishments primarily engaged in--
4862|
48621|See industry description for 486210.
486210|This industry comprises establishments primarily engaged in the pipeline transportation of natural gas from processing plants to local distribution systems. This industry includes the storage of natural gas because the storage is usually done by the pipeline establishment and because a pipeline is inherently a network in which all the nodes are interdependent.<br><br>Cross-References. Establishments primarily engaged in--
4869|This industry group comprises establishments primarily engaged in the pipeline transportation of products (except crude oil and natural gas).
48691|See industry description for 486910.
486910|This industry comprises establishments primarily engaged in the pipeline transportation of refined petroleum products.
48699|See industry description for 486990.
486990|This industry comprises establishments primarily engaged in the pipeline transportation of products (except crude oil, natural gas, and refined petroleum products).<br><br>Cross-References. Establishments primarily engaged in--
487|Industries in the Scenic and Sightseeing Transportation subsector utilize transportation equipment to provide recreation and entertainment.  These activities have a production process distinct from passenger transportation carried out for the purpose of other types of for-hire transportation.  This process does not emphasize efficient transportation; in fact, such activities often use obsolete vehicles, such as steam trains, to provide some extra ambience.  The activity is local in nature, usually involving a same-day return to the point of departure.<br><br>The Scenic and Sightseeing Transportation subsector is separated into three industries based on the mode: land, water, and other.<br><br>Activities that are recreational in nature and involve participation by the customer, such as white water rafting, are generally excluded from this subsector, unless they impose an impact on part of the transportation system.  Charter boat fishing, for example, is included in the Scenic and Sightseeing Transportation, Water industry.
4871|
48711|See industry description for 487110.
487110|This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on land, such as sightseeing buses and trolleys, steam train excursions, and horse-drawn sightseeing rides.  The services provided are usually local and involve same-day return to place of origin.<br><br>Cross-References. Establishments primarily engaged in--
4872|
48721|See industry description for 487210.
487210|This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on water.  The services provided are usually local and involve same-day return to place of origin.<br><br>Illustrative Examples:<br><br>Airboat (i.e., swamp buggy) operation<br>Excursion boat operation<br>Charter fishing boat services<br>Harbor sightseeing tours<br>Dinner cruises<br><br>Cross-References. Establishments primarily engaged in--
4879|
48799|See industry description for 487990.
487990|This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation (except on land and water).  The services provided are usually local and involve same-day return to place of departure.<br><br>Illustrative Examples:<br><br>Aerial cable cars, scenic and sightseeing operation<br>Helicopter rides, scenic and sightseeing operation<br>Glider excursions<br>Aerial tramways, scenic and sightseeing operation<br>Hot air balloon rides, scenic and sightseeing operation<br><br>Cross-References. Establishments primarily engaged in--
488|Industries in the Support Activities for Transportation subsector provide services which support transportation.  These services may be provided to transportation carrier establishments or to the general public.  This subsector includes a wide array of establishments, including air traffic control services, marine cargo handling, and motor vehicle towing.<br><br>The Support Activities for Transportation subsector includes services to transportation, separated by type of mode serviced.  The Support Activities for Rail Transportation industry includes services to the rail industry (e.g., railroad switching and terminal establishments).  Ship repair and maintenance services not done in a shipyard are included in the Other Support Activities for Water Transportation industry.  An example would be floating drydock services in a harbor.<br><br>Excluded from this subsector are establishments primarily engaged in providing factory conversion and overhaul of transportation equipment, which are classified in Subsector 336, Transportation Equipment Manufacturing.  Establishments primarily engaged in providing rental and leasing of transportation equipment without operator are classified in Subsector 532, Rental and Leasing Services. Also, establishments primarily engaged in providing travel arrangement and reservation services are classified in Industry Group 5615, Travel Arrangement and Reservation Services.
4881|This industry group comprises establishments primarily engaged in providing services to the air transportation industry.  These services include airport operation, servicing, repairing (except factory conversion and overhaul of aircraft), maintaining and storing aircraft, and ferrying aircraft.
48811|This industry comprises establishments primarily engaged in (1) operating international, national, or civil airports or public flying fields or (2) supporting airport operations (except special food services contractors), such as rental of hangar space, air traffic control (except military) services, baggage handling services, and cargo handling services.<br><br>Cross-References.
488111|This U.S. industry comprises establishments primarily engaged in providing air traffic control (except military) services to regulate the flow of air traffic.<br><br>Cross-References.
488119|This U.S. industry comprises establishments primarily engaged in (1) operating international, national, or civil airports, or public flying fields or (2) supporting airport operations, such as rental of hangar space, and providing baggage handling and/or cargo handling services.<br><br>Cross-References. Establishments primarily engaged in--
48819|See industry description for 488190.
488190|This industry comprises establishments primarily engaged in providing specialized services for air transportation (except air traffic control and other airport operations).<br><br>Illustrative Examples:<br><br>Aircraft maintenance and repair services (except factory conversions, overhauls, rebuilding)<br>Aircraft passenger screening security services<br>Aircraft testing services<br><br>Cross-References. Establishments primarily engaged in--
4882|
48821|See industry description for 488210.
488210|This industry comprises establishments primarily engaged in providing specialized services for railroad transportation, including servicing, routine repairing (except factory conversion, overhaul, or rebuilding of rolling stock), and maintaining rail cars; loading and unloading rail cars; and operating independent terminals.<br><br>Cross-References. Establishments primarily engaged in--
4883|This industry group comprises establishments primarily engaged in one of the following: (1) operating ports, harbors (including docking and pier facilities), or canals; (2) providing stevedoring and other marine cargo handling services (except warehousing); (3) providing navigational services to shipping; or (4) providing other services to water transportation.
48831|See industry description for 488310.
488310|This industry comprises establishments primarily engaged in operating ports, harbors (including docking and pier facilities), or canals.<br><br>Cross-References. Establishments primarily engaged in--
48832|See industry description for 488320.
488320|This industry comprises establishments primarily engaged in providing stevedoring and other marine cargo handling services (except warehousing).<br><br>Cross-References. Establishments primarily engaged in--
48833|See industry description for 488330.
488330|This industry comprises establishments primarily engaged in providing navigational services to shipping.  Marine salvage establishments are included in this industry.<br><br>Illustrative Examples:<br><br>Docking and undocking marine vessel services<br>Piloting services, water transportation<br>Marine vessel traffic reporting services<br>Tugboat services, harbor operation<br><br>Cross-References. Establishments primarily engaged in--
48839|See industry description for 488390.
488390|This industry comprises establishments primarily engaged in providing services to water transportation (except port and harbor operations; marine cargo handling services; and navigational services to shipping).<br><br>Illustrative Examples:<br><br>Floating drydocks (i.e., routine repair and maintenance of ships)<br>Ship scaling services<br>Marine cargo checkers and surveyors<br><br>Cross-References. Establishments primarily engaged in--
4884|This industry group comprises establishments primarily engaged in (1) towing light or heavy motor vehicles, both local and long-distance, or (2) providing other services to road network users.
48841|See industry description for 488410.
488410|This industry comprises establishments primarily engaged in towing light or heavy motor vehicles, both local and long-distance.  These establishments may provide incidental services, such as storage and emergency road repair services.<br><br>Cross-References. Establishments primarily engaged in--
48849|See industry description for 488490.
488490|This industry comprises establishments primarily engaged in providing services (except motor vehicle towing) to road network users.<br><br>Illustrative Examples:<br><br>Bridge, tunnel, and highway operations<br>Pilot car services (i.e., wide load warning services)<br>Truck or weighing station operations<br>Driving services, independent (e.g., automobile, truck delivery)<br><br>Cross-References. Establishments primarily engaged in--
4885|
48851|See industry description for 488510.
488510|This industry comprises establishments primarily engaged in arranging transportation of freight between shippers and carriers.  These establishments are usually known as freight forwarders, marine shipping agents, or customs brokers and offer a combination of services spanning transportation modes but do not directly provide shipping services.<br><br>Cross-References.
4889|
48899|This industry comprises establishments primarily engaged in providing support activities to transportation (except for air transportation; rail transportation; water transportation; road transportation; and freight transportation arrangement).<br><br>Illustrative Examples:<br><br>Arrangement of vanpools or car pools (except ridesharing arrangement services)<br>Independent pipeline terminal facilities<br>Stockyards (i.e., not for fattening or selling livestock)<br><br>Cross-References. Establishments primarily engaged in--
488991|This U.S. industry comprises establishments primarily engaged in packing, crating, and otherwise preparing goods for transportation.<br><br>Cross-References. Establishments primarily engaged in--
488999|This U.S. industry comprises establishments primarily engaged in providing support activities to transportation (except for air transportation; rail transportation; water transportation; road transportation; freight transportation arrangement; and packing and crating).<br><br>Illustrative Examples:<br><br>Arrangement of vanpools or car pools (except ridesharing arrangement services)<br>Independent pipeline terminal facilities<br>Stockyards (i.e., not for fattening or selling livestock)<br><br>Cross-References. Establishments primarily engaged in--
49|The Sector as a Whole<br><br>The Transportation and Warehousing sector includes industries providing transportation of passengers and cargo, warehousing and storage for goods, scenic and sightseeing transportation, and support activities related to modes of transportation.  Establishments in these industries use transportation equipment or transportation-related facilities as a productive asset.  The type of equipment depends on the mode of transportation.  The modes of transportation are air, rail, water, road, and pipeline.<br><br>The Transportation and Warehousing sector distinguishes three basic types of activities: subsectors for each mode of transportation, a subsector for warehousing and storage, and a subsector for establishments providing support activities for transportation.  In addition, there are subsectors for establishments that provide passenger transportation for scenic and sightseeing purposes, postal services, and courier services.<br><br>A separate subsector for support activities is established in the sector because, first, support activities for transportation are inherently multimodal, such as freight transportation arrangement, or have multimodal aspects.  Secondly, there are production process similarities among the support activity industries.<br><br>One of the support activities identified in the Support Activities for Transportation subsector is the routine repair and maintenance of transportation equipment (e.g., aircraft at an airport, railroad rolling stock at a railroad terminal, or ships at a harbor or port facility).  Such establishments do not perform complete overhauling or rebuilding of transportation equipment (i.e., periodic restoration of transportation equipment to original design specifications) or transportation equipment conversion (i.e., major modification to systems).  An establishment that primarily performs factory (or shipyard) overhauls, rebuilding, or conversions of aircraft, railroad rolling stock, or ships is classified in Subsector 336, Transportation Equipment Manufacturing, according to the type of equipment.<br><br>Many of the establishments in this sector often operate on networks, with physical facilities, labor forces, and equipment spread over an extensive geographic area.<br><br>Warehousing establishments in this sector are distinguished from merchant wholesaling in that the warehouse establishments do not sell the goods.<br><br>Excluded from this sector are establishments primarily engaged in providing travel agent, travel arrangement, and reservation services that support transportation establishments, hotels, other businesses, and government agencies.  These establishments are classified in Sector 56, Administrative and Support and Waste Management and Remediation Services.  Establishments primarily engaged in providing rental and leasing of transportation equipment without operator are classified in Subsector 532, Rental and Leasing Services.  Establishments primarily engaged in providing medical care with transportation are classified in Sector 62, Health Care and Social Assistance.
491|The Postal Service subsector includes the activities of the National Post Office and its subcontractors operating under a universal service obligation to provide mail services, and using the infrastructure required to fulfill that obligation.  These services include delivering letters and small parcels.  These articles can be described as those that can be handled by one person without using special equipment.  This allows the collection, pick-up, and delivery operations to be done with limited labor costs and minimal equipment.  Sorting and transportation activities, where necessary, are generally mechanized.  The restriction to small parcels distinguishes these establishments from those in the transportation industries.  These establishments may also provide express delivery services using the infrastructure established for provision of basic mail services.<br><br>The traditional activity of the National Postal Service is described in this subsector.  Subcontractors include rural post offices on contract to the Postal Service.<br><br>Bulk transportation of mail on contract to the Postal Service is not included here, because it is usually done by transportation establishments that carry other customers' cargo as well.  Establishments that provide courier and express delivery services without operating under a universal service obligation are classified in Subsector 492, Couriers and Messengers.
4911|
49111|See industry description for 491110.
491110|This industry comprises establishments primarily engaged in providing mail services under a universal service obligation.  Mail services include the carriage of letters, printed matter, or mailable packages, including acceptance, collection, processing, and delivery.  Due to the infrastructure requirements of providing mail service under a universal service obligation, postal service establishments often provide parcel and express delivery services in addition to the mail service.  Establishments primarily engaged in performing one or more parts of the basic mail service, such as sorting, routing and/or delivery (except bulk transportation of mail) are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
492|Industries in the Couriers and Messengers subsector provide intercity, local, and/or international delivery of parcels and documents (including express delivery services) without operating under a universal service obligation.  These articles may originate in the U.S. but be delivered to another country and can be described as those that may be handled by one person without using special equipment.  This allows the collection, pick-up, and delivery operations to be done with limited labor costs and minimal equipment.  Sorting and transportation activities, where necessary, are generally mechanized.  The restriction to small parcels partly distinguishes these establishments from those in the transportation industries.  The complete network of courier services establishments also distinguishes these transportation services from local messenger and delivery establishments in this subsector.  This includes the establishments that perform intercity transportation as well as establishments that, under contract to them, perform local pick-up and delivery.  Messengers, which usually deliver within a metropolitan or single urban area, may use bicycle, foot, car, small truck, or van.
4921|
49211|See industry description for 492110.
492110|This industry comprises establishments primarily engaged in providing air, surface, or combined mode courier and express delivery services of parcels, but not operating under a universal service obligation.  These parcels can include goods and documents, but the express delivery services are not part of the normal mail service.  These services are generally between metropolitan areas, urban centers, or international, but the establishments of this industry form a network that includes local pick-up and delivery to serve their customers' needs.<br><br>Illustrative Examples:<br><br>Air courier services, except establishments operating under a universal service obligation<br>Express delivery services, except establishments operating under a universal service obligation<br>Courier services (i.e., intercity network), except establishments operating under a universal service obligation<br><br>Cross-References. Establishments primarily engaged in--
4922|
49221|See industry description for 492210.
